# rime-lantern gloss table, generated by tools/build_gloss.py
# Source: CC-CEDICT (https://cc-cedict.org), release date 2026-09-17T05:48:14Z, 125072 entries
# Source sha256: 0d8031a4fa0386f1ad10bf7123187dcc536a061fcb9d22cca3cada7517edc1c2
# License: CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0/)
# Columns: simplified<TAB>traditional<TAB>gloss1; gloss2; gloss3
11区	11區	Japan
充电头	充電頭	wall charger; charging adapter
充电宝	充電寶	power bank; portable charger
充电桩	充電樁	electric vehicle charging point; EV charger
充电站	充電站	charging station
充畅	充暢	abundant and fluent; affluent and smooth
充盈	充盈	abundant; plentiful
充耳不闻	充耳不聞	to block one's ears and not listen; to turn a deaf ear
充血	充血	hyperemia; blood congestion
充裕	充裕	abundant; ample; plenty
充要条件	充要條件	necessary and sufficient condition
充足	充足	adequate; sufficient; abundant
充足理由律	充足理由律	sufficient grounds
充饥	充飢	to allay one's hunger
兆	兆	omen; to foretell; million
兆周	兆周	megacycle (MC), equals 1,000,000 Hz
兆头	兆頭	omen; portent; sign
兆字节	兆字節	megabyte
兆瓦	兆瓦	megawatt
兆瓦时	兆瓦時	megawatt-hour
兆瓦特	兆瓦特	megawatt
兆电子伏	兆電子伏	mega electron volt
兆赫	兆赫	megahertz
先	先	beforehand; first; earlier
先下手为强	先下手為強	strike first to gain the upper hand
先不先	先不先	first of all; in the first place
先主	先主	former ruler; founding ruler
先人	先人	ancestor; forefather; sb's late father
先令	先令	shilling
先例	先例	precedent
先兆	先兆	omen
先入为主	先入為主	the first impression is the strongest; to hold a preconceived notion
先公	先公	my late father
先兵后礼	先兵後禮	opposite of
先决	先決	prerequisite; necessary
先决条件	先決條件	precondition; prerequisite
先决问题	先決問題	issue that needs to be addressed first
先到先得	先到先得	first come first served
先前	先前	before; previously
先发	先發	to take preemptive action; to be in the starting lineup; to be the starting pitcher
先发制人	先發制人	to gain the initiative by striking first; to preempt
先发投手	先發投手	starting pitcher
先后	先後	early or late; first and last; priority
先后顺序	先後順序	sequential order
先君	先君	my late father; my ancestors; the late emperor
先哲	先哲	the wise and learned individuals of the past
先声	先聲	herald; precursor; harbinger
先声夺人	先聲奪人	to gain the upper hand by a show of strength
先大母	先大母	my late paternal grandmother
先天	先天	embryonic period; inborn; innate
先天下之忧而忧，后天下之乐而乐	先天下之憂而憂，後天下之樂而樂	to be the first to worry about affairs of state, and the last to enjoy oneself
先天不足	先天不足	to suffer from a congenital deficiency; to have an inherent weakness
先天不足，后天失调	先天不足，後天失調	to be born with a weak constitution and suffer from ill health during one's life; to be problematic from the start, and get even worse over time
先天与后天	先天與後天	nature versus nurture
先天性	先天性	congenital; intrinsic; innate
先天性缺陷	先天性缺陷	birth defect
先天愚型	先天愚型	Down syndrome; trisomy 21
先头	先頭	in advance; in the vanguard; previously
先妣	先妣	my late mother
先容	先容	to introduce sb, putting in a good word for them in advance
先导	先導	to lead the way; guide; forerunner
先师	先師	one's late teacher
先帝遗诏	先帝遺詔	posthumous edict of a former emperor
先慈	先慈	my late mother
先斩后奏	先斬後奏	execute sb first, then report to the emperor; to act first and report later; to take action without prior approval
先有	先有	prior; preexisting
先有后婚	先有後婚	to marry after getting pregnant
先期	先期	the time before a certain date; in advance; beforehand
先期录音	先期錄音	to prerecord a musical soundtrack to which actors will later synchronize their performance during filming
先机	先機	critical opportunity
先来后到	先來後到	in order of arrival; first come, first served
先母	先母	my late mother
先民	先民	forebears
先汉	先漢	Western Han dynasty (206 BC–8 AD), aka
先河	先河	source; precursor; forerunner
先烈	先烈	martyr
先父	先父	deceased father; my late father
先王	先王	former sovereigns
先王之乐	先王之樂	the music of former kings
先王之政	先王之政	the rule of former kings
先王之道	先王之道	the way of former kings
先生	先生	teacher; gentleman; sir
先皇	先皇	emperor of a former dynasty
先睹为快	先睹為快	to consider it a pleasure to be among the first to read
先知	先知	a person of foresight; a prophet
先知先觉	先知先覺	having foresight; a person of foresight
先礼后兵	先禮後兵	try persuasion before resorting to force
先祖	先祖	my deceased grandfather; ancestors
先秦	先秦	pre-Qin, Chinese history up to the foundation of the Qin imperial dynasty in 221 BC
先行	先行	to start off before the others; to precede; to proceed in advance
先行者	先行者	forerunner
先见	先見	foresight; prescience
先见之明	先見之明	foresight
先见者	先見者	a visionary
先觉	先覺	person of foresight
先贤	先賢	ancient sage
先走一步	先走一步	to leave first; to predecease; to die first
先辈	先輩	an older generation; ancestors; forefathers
先达	先達	our learned predecessors
先进	先進	sophisticated; advanced; meritorious
先进个人	先進個人	advanced individual; exemplary individual
先进先出	先進先出	first in, first out
先进武器	先進武器	advanced weapon
先进水平	先進水平	advanced level
先进集体	先進集體	pace-setting team; exemplary group
先遣队	先遣隊	advance party
先锋	先鋒	vanguard; pioneer; avant-garde
先锋派	先鋒派	avant-garde
先锋队	先鋒隊	vanguard
先鞭	先鞭	to be the first; to lead the way
先驱	先驅	to pioneer; pioneer; trailblazer
先驱者	先驅者	pioneer; trailblazer
先验	先驗	a priori
先验概率	先驗概率	prior probability
光	光	light; ray; bright
光临	光臨	to honor with one's presence; to attend
光亮	光亮	bright
光亮度	光亮度	brightness; luminosity
光伏	光伏	photovoltaic
光伏器件	光伏器件	photovoltaic device
光信号	光信號	optical signal
光光	光光	bright; shiny; smooth
光冲量	光衝量	radiant exposure
光刻	光刻	photolithography
光刻机	光刻機	photolithography machine
光刻胶	光刻膠	photoresist
光前裕后	光前裕後	to bring honor to one's ancestors and benefit future generations
光功率	光功率	optical power
光动嘴	光動嘴	empty talk; mere rhetoric; palaver
光化作用	光化作用	photochemical effect; photosynthesis; photolysis
光化学	光化學	photochemistry
光化性角化病	光化性角化病	actinic keratosis, aka solar keratosis
光华	光華	brilliance; splendor; magnificence
光卤石	光鹵石	carnallite
光发送器	光發送器	optical transmitter
光合	光合	photosynthetic
光合作用	光合作用	photosynthesis
光圈	光圈	aperture; diaphragm; halo
光复	光復	to recover; the liberation of Taiwan from Japanese rule in 1945
光复会	光復會	anti-Qing revolutionary party set up in 1904 under Cai Yuanpei
光大	光大	splendid; magnificent
光天化日	光天化日	the full light of day; fig. peace and prosperity; in broad daylight
光头	光頭	shaven head; bald head; to go bareheaded
光头党	光頭黨	skinheads
光头强	光頭強	Logger Vick; nickname for bald people
光子	光子	photon
光学	光學	optics
光学仪器	光學儀器	optical instrument
光学字符识别	光學字符識別	optical character recognition
光学显微镜	光學顯微鏡	optical microscope
光学雷达	光學雷達	lidar
光宗耀祖	光宗耀祖	to bring honor to one's ancestors
光害	光害	light pollution
光导纤维	光導纖維	optical fiber
光射线	光射線	light ray
光山县	光山縣	Guangshan, a county in Xinyang City , Henan
光年	光年	light-year
光度	光度	luminosity
光彩	光彩	luster; splendor; radiance
光彩夺目	光彩奪目	dazzling; brilliant
光影	光影	light and shadow; sunlight and shade
光影效	光影效	lighting effect
光怪陆离	光怪陸離	monstrous and multicolored; grotesque and variegated
光感应	光感應	optical response; reaction to light; light sensitive
光接收器	光接收器	optical receiver
光敏	光敏	photosensitive
光斑	光斑	facula
光明	光明	light; radiance; bright
光明区	光明區	Guangming, a district of Shenzhen City , Guangdong
光明日报	光明日報	Guangming Daily, a Beijing newspaper
光明正大	光明正大	honorable; not devious; fair and aboveboard
光明磊落	光明磊落	open and candid; straightforward and upright
光明节	光明節	Hanukkah (Chanukah), 8 day Jewish holiday starting on the 25th day of Kislev
光是	光是	solely; just
光晕	光暈	halo; halation
光景	光景	circumstances; scene; about
光替	光替	stand-in
光杆司令	光桿司令	commander without any soldiers; leader without a team; solo entrepreneur
光束	光束	light beam
光柱	光柱	light beam; light pillar
光栅	光柵	grating; raster
光标	光標	cursor
光检测器	光檢測器	optical detector
光棍	光棍	gangster; hoodlum; bachelor
光棍儿	光棍兒	bachelor; single man
光棍节	光棍節	Singles' Day (November 11), originally a day of activities for single people, but now also the world's biggest annual retail sales day
光气	光氣	phosgene COCl2, aka carbonyl chloride, a poisonous gas
光污染	光污染	light pollution
光波	光波	light wave
光波长	光波長	optical wavelength
光泽	光澤	luster; gloss
光泽县	光澤縣	Guangze, a county in Nanping City , Fujian
光洁	光潔	bright and clean
光润	光潤	glossy; lustrous; sleek
光源	光源	light source
光溜	光溜	smooth; slippery
光滑	光滑	glossy; sleek; smooth
光漆	光漆	gloss paint; glossy varnish; gloss-finish coating
光照	光照	illumination
光照度	光照度	illuminance
光照治疗	光照治療	light therapy; phototherapy
光爆	光爆	explosion of light
光猫	光貓	optical network terminal; optical network unit; optical modem
光环	光環	ring of light; halo; glory
光球	光球	photosphere
光球层	光球層	photosphere
光电	光電	photoelectric
光电二极管	光電二極管	photodiode
光电子	光電子	photoelectron
光电效应	光電效應	photoelectric effect
光盘	光盤	compact disc; DVD; CD-ROM
光盘驱动器	光盤驅動器	CD or DVD drive
光碟	光碟	optical disc; compact disc; CD
光磁	光磁	magneto-optical
光磁碟	光磁碟	magneto-optical disk; floptical disk
光磁碟机	光磁碟機	magneto-optical drive; floptical drive
光禄勋	光祿勳	minister of the imperial household
光禄大夫	光祿大夫	honorific title during Tang to Qing times, approx. "Glorious grand master"
光秃秃	光禿禿	bald; bare
光笔	光筆	light pen
光纤	光纖	optical fiber; fiber optics
光纤分布式数据接口	光纖分布式數據接口	Fiber Distributed Data Interface
光纤分布数据接口	光纖分佈數據接口	Fiber Distributed Data Interface
光纤分散式资料介面	光纖分散式資料介面	Fiber Distributed Data Interface
光纤接口	光纖接口	optical interface
光纤电缆	光纖電纜	optical fiber; optical cable
光纤衰减	光纖衰減	optical attenuation
光线	光線	light ray; light; illumination
光线追踪	光線追蹤	ray tracing
光绪	光緒	reign name of penultimate Qing emperor Guangxu or Guang-hsu
光绪帝	光緒帝	Guangxu Emperor
光缆	光纜	optical cable
光耀	光耀	dazzling; brilliant
光耀门楣	光耀門楣	splendor shines on the family's door; fig. to bring honor to one's family
光耦合器	光耦合器	optocoupler
光背地鸫	光背地鶇	plain-backed thrush
光能	光能	light energy
光能合成	光能合成	photosynthesis
光脚	光腳	bare feet
光脚的不怕穿鞋的	光腳的不怕穿鞋的	lit. the barefooted people are not afraid of those who wear shoes; fig. the poor, who have nothing to lose, do not fear those in power
光腚肿菊	光腚腫菊	punning reference to , the National Radio and Television Administration
光膀子	光膀子	bare upper body; bare-chested; to bare one's chest
光艳	光艷	bright and colorful; gorgeous
光芒	光芒	rays of light; brilliant rays; radiance
光芒万丈	光芒萬丈	boundless radiance; splendor
光荣	光榮	honor and glory; glorious
光荣榜	光榮榜	honor roll
光荣革命	光榮革命	Glorious Revolution
光说不做	光說不做	to be all talk and no action; to preach what one does not practice
光说不练	光說不練	all talk and no action; to preach what one does not practice
光谱	光譜	spectrum
光谱仪	光譜儀	spectrometer; spectrograph
光谱分析	光譜分析	spectral analysis
光谱图	光譜圖	spectrogram
光谱学	光譜學	spectroscopy
光辉	光輝	radiance; glory; brilliant
光辐射	光輻射	light radiation
光追	光追	ray tracing
光通量	光通量	luminous flux
光速	光速	the speed of light; extremely quickly
光遗传学	光遺傳學	optogenetics
光量	光量	quantity of light; luminosity
光锥	光錐	light cone
光阴	光陰	time available
光阴似箭	光陰似箭	time flies like an arrow; How time flies!
光阴荏苒	光陰荏苒	How time flies!
光隔离器	光隔離器	opto-isolator
光面	光麵	plain noodles in broth
光面内质网	光面內質網	smooth endoplasmic reticulum
光顾	光顧	to visit
光风霁月	光風霽月	lit. light breeze and clear moon; period of peace and prosperity; noble and benevolent character
光驱	光驅	CD or DVD Drive
光鲜	光鮮	bright and neat
克	克	abbr. for , Croatia; to be able to; to subdue
克东县	克東縣	Kedong, a county in Qiqihar City , Heilongjiang
克丝钳子	克絲鉗子	wire cutting pincers
克什克腾	克什克騰	Hexigten banner or Kesigüten khoshuu in Chifeng , Inner Mongolia
克什克腾旗	克什克騰旗	Hexigten banner or Kesigüten khoshuu in Chifeng , Inner Mongolia
克什米尔	克什米爾	Kashmir
克仑特罗	克侖特羅	clenbuterol
克他命	克他命	ketamine
克俭	克儉	thrifty; frugal
克利夫兰	克利夫蘭	Cleveland
克利斯朵夫	克利斯朵夫	Christopher
克制	克制	to restrain; to control; restraint
克劳修斯	克勞修斯	Rudolf Clausius (1822-1888), German physicist and mathematician
